time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,record_index
2025-01-28 17:45:00,896.9933333333333,0.0,97.16666666666669,67.73,900.52,70.0,99.99666666666668,73.99,70.0,72.0,69.85666666666667,66.97,68.99,68.0,68.0,33
2025-01-28 18:00:00,900.5233333333332,0.0,93.5,67.36333333333333,900.52,70.0,94.65333333333332,73.99,70.0,72.0,70.22,66.97,68.99,68.0,68.0,34
2025-01-28 18:15:00,904.7633333333332,0.0,82.33333333333333,65.50333333333333,900.52,70.0,90.16,73.99,70.0,72.0,70.32333333333334,66.97,68.99,68.0,68.0,35
2025-01-28 18:30:00,903.35,0.0,80.66666666666667,65.10666666666667,900.52,70.0,90.58666666666666,73.99,70.0,72.0,70.19333333333334,66.97,68.99,68.0,68.0,36
2025-01-28 18:45:00,912.53,0.0,81.0,65.02333333333333,900.52,70.0,88.62333333333333,73.99,70.0,72.0,70.22333333333334,66.97,68.99,68.0,68.0,37
2025-01-28 19:00:00,896.9900000000001,0.0,80.66666666666667,65.27,900.52,70.0,88.16666666666667,73.99,70.0,72.0,70.15666666666667,66.97,68.99,68.0,68.0,38
2025-01-28 19:15:00,895.5799999999999,0.0,79.16666666666667,65.14666666666666,900.52,70.0,87.99000000000001,73.99,70.0,72.0,70.12,66.97,68.99,68.0,68.0,39
2025-01-28 19:30:00,903.35,0.0,78.66666666666667,65.07000000000001,900.52,70.0,87.84666666666665,73.99,70.0,72.0,70.09,66.97,68.99,68.0,68.0,40
2025-01-28 19:45:00,904.7633333333332,0.0,78.33333333333333,64.99,900.52,70.0,90.05666666666667,73.99,70.0,72.0,69.95666666666666,66.97,68.99,68.0,68.0,41
2025-01-28 20:00:00,892.7566666666667,0.0,78.33333333333333,65.16333333333334,900.52,70.0,90.18666666666668,73.99,70.0,72.0,69.97333333333333,66.97,68.99,68.0,68.0,42
2025-01-28 20:15:00,899.8166666666666,0.0,77.0,65.16333333333334,900.52,70.0,87.10000000000001,73.99,70.0,72.0,70.10333333333334,66.97,68.99,68.0,68.0,43
2025-01-28 20:30:00,892.7533333333334,0.0,75.5,64.84666666666668,900.52,70.0,86.76333333333332,73.99,70.0,72.0,70.07666666666667,66.97,68.99,68.0,68.0,44
2025-01-28 20:45:00,899.11,0.0,75.16666666666667,64.89333333333333,900.52,70.0,86.99000000000001,73.99,70.0,72.0,70.03333333333333,66.97,68.99,68.0,68.0,45
2025-01-28 21:00:00,896.2866666666667,0.0,75.0,64.89,900.52,70.0,87.98333333333333,73.99,70.0,72.0,69.98,66.97,68.99,68.0,68.0,46
2025-01-28 21:15:00,902.6433333333332,0.0,74.83333333333333,64.85666666666667,900.52,70.0,87.99000000000001,73.99,70.0,72.0,69.98,66.97,68.99,68.0,68.0,47
2025-01-28 21:30:00,904.7633333333332,0.0,74.5,64.78,900.52,70.0,88.24666666666667,73.99,70.0,72.0,69.96666666666667,66.97,68.99,68.0,68.0,48
2025-01-28 21:45:00,904.7633333333332,0.0,74.5,64.74,900.52,70.0,92.73,73.99,70.0,72.0,69.77666666666666,66.97,68.99,68.0,68.0,49
2025-01-28 22:00:00,905.4666666666668,0.0,74.5,64.73,900.52,70.0,99.30666666666669,73.99,70.0,72.0,69.57666666666667,66.97,68.99,68.0,68.0,50
2025-01-28 22:15:00,897.6999999999999,0.0,74.5,64.63333333333334,900.52,70.0,100.0,73.99,70.0,72.0,69.52,66.97,68.99,68.0,68.0,51
2025-01-28 22:30:00,894.8766666666667,0.0,74.5,64.49000000000001,900.52,70.0,100.0,73.99,70.0,72.0,69.45,66.97,68.99,68.0,68.0,52
2025-01-28 22:45:00,894.1666666666666,0.0,74.5,64.18,900.52,70.0,100.0,73.99,70.0,72.0,69.38666666666667,66.97,68.99,68.0,68.0,53
2025-01-28 23:00:00,907.5866666666668,0.0,74.83333333333333,63.81333333333333,900.52,70.0,100.0,73.99,70.0,72.0,69.33333333333333,66.97,68.99,68.0,68.0,54
2025-01-28 23:15:00,901.2333333333332,0.0,75.0,63.6,900.52,70.0,100.0,73.99,70.0,72.0,69.28,66.97,68.99,68.0,68.0,55
2025-01-28 23:30:00,889.2266666666666,0.0,75.5,63.43666666666667,900.52,70.0,100.0,73.99,70.0,72.0,69.3,66.97,68.99,68.0,68.0,56
2025-01-28 23:45:00,901.94,0.0,75.66666666666667,63.31,900.52,70.0,100.0,73.99,70.0,72.0,69.28,66.97,68.99,68.0,68.0,57
2025-01-29 00:00:00,901.2333333333332,0.0,75.83333333333333,63.1,900.52,70.0,100.0,73.99,70.0,72.0,69.27333333333333,66.97,68.99,68.0,68.0,58
2025-01-29 00:15:00,903.35,0.0,75.66666666666667,62.78333333333333,900.52,70.0,100.0,73.99,70.0,72.0,69.25333333333333,66.97,68.99,68.0,68.0,59
2025-01-29 00:30:00,894.8733333333333,0.0,75.66666666666667,62.68333333333334,900.52,70.0,100.0,73.99,70.0,72.0,69.26666666666667,66.97,68.99,68.0,68.0,60
2025-01-29 00:45:00,892.7566666666667,0.0,75.5,62.49,900.52,70.0,100.0,73.99,70.0,72.0,69.21666666666667,66.97,68.99,68.0,68.0,61
2025-01-29 01:00:00,902.6433333333332,0.0,75.66666666666667,62.42333333333334,900.52,70.0,100.0,73.99,70.0,72.0,69.15,66.97,68.99,68.0,68.0,62
2025-01-29 01:15:00,888.5166666666665,0.0,75.83333333333333,62.27666666666666,900.52,70.0,100.0,73.99,70.0,72.0,69.15,66.97,68.99,68.0,68.0,63
2025-01-29 01:30:00,898.4066666666666,0.0,75.83333333333333,62.196666666666665,900.52,70.0,100.0,73.99,70.0,72.0,69.14333333333333,66.97,68.99,68.0,68.0,64
2025-01-29 01:45:00,901.94,0.0,76.0,62.18666666666667,900.52,70.0,100.0,73.99,70.0,72.0,69.07,66.97,68.99,68.0,68.0,65
2025-01-29 02:00:00,896.2866666666665,0.0,76.66666666666667,62.13666666666666,900.52,70.0,100.0,73.99,70.0,72.0,69.08333333333333,66.97,68.99,68.0,68.0,66
2025-01-29 02:15:00,901.23,0.0,77.0,62.28666666666667,900.52,70.0,100.0,73.99,70.0,72.0,69.02333333333333,66.97,68.99,68.0,68.0,67
2025-01-29 02:30:00,900.5233333333332,0.0,77.33333333333333,62.32333333333333,900.52,70.0,100.0,73.99,70.0,72.0,69.06,66.97,68.99,68.0,68.0,68
2025-01-29 02:45:00,900.5233333333332,0.0,77.16666666666667,62.29333333333333,900.52,70.0,100.0,73.99,70.0,72.0,69.13,66.97,68.99,68.0,68.0,69
2025-01-29 03:00:00,903.35,0.0,77.33333333333333,62.23,900.52,70.0,100.0,73.99,70.0,72.0,69.12666666666667,66.97,68.99,68.0,68.0,70
2025-01-29 03:15:00,887.8100000000001,0.0,77.33333333333333,62.26,900.52,70.0,100.0,73.99,70.0,72.0,69.13,66.97,68.99,68.0,68.0,71
2025-01-29 03:30:00,909.0,0.0,78.0,62.39666666666667,900.52,70.0,100.0,73.99,70.0,72.0,69.14333333333333,66.97,68.99,68.0,68.0,72
2025-01-29 03:45:00,890.6366666666667,0.0,78.16666666666667,62.373333333333335,900.52,70.0,100.0,73.99,70.0,72.0,69.13,66.97,68.99,68.0,68.0,73
2025-01-29 04:00:00,901.23,0.0,78.16666666666667,62.406666666666666,900.52,70.0,100.0,73.99,70.0,72.0,69.12333333333333,66.97,68.99,68.0,68.0,74
2025-01-29 04:15:00,903.3466666666668,0.0,78.0,62.370000000000005,900.52,70.0,100.0,73.99,70.0,72.0,69.14333333333333,66.97,68.99,68.0,68.0,75
2025-01-29 04:30:00,905.47,0.0,78.0,62.32333333333333,900.52,70.0,100.0,73.99,70.0,72.0,69.15,66.97,68.99,68.0,68.0,76
2025-01-29 04:45:00,893.46,0.0,78.5,62.34333333333333,900.52,70.0,100.0,73.99,70.0,72.0,69.26666666666667,66.97,68.99,68.0,68.0,77
2025-01-29 05:00:00,899.1133333333333,0.0,79.0,62.42,900.52,70.0,100.0,73.99,70.0,72.0,69.29333333333334,66.97,68.99,68.0,68.0,78
2025-01-29 05:15:00,898.4033333333333,0.0,80.83333333333333,62.51,900.52,70.0,100.0,73.99,70.0,72.0,69.27333333333333,66.97,68.99,68.0,68.0,79
2025-01-29 05:30:00,899.11,0.0,81.0,62.61333333333334,900.52,70.0,100.0,73.99,70.0,72.0,69.16333333333334,66.97,68.99,68.0,68.0,80
2025-01-29 05:45:00,908.2966666666666,0.0,81.16666666666667,62.51,900.52,70.0,100.0,73.99,70.0,72.0,69.17,66.97,68.99,68.0,68.0,81
2025-01-29 06:00:00,906.1766666666666,0.0,82.16666666666667,62.5,900.52,70.0,100.0,73.99,70.0,72.0,69.15666666666668,66.97,68.99,68.0,68.0,82
2025-01-29 06:15:00,889.93,0.0,85.33333333333333,62.73666666666667,900.52,70.0,100.0,73.99,70.0,72.0,69.15,66.97,68.99,68.0,68.0,83
