source_file,time,Unnamed: 0,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,RmCo2,AirflowSpRht,SuplFanCmd,SuplFanState,Cooling_Stg_Cmd,Heating_Stg_Cmd
DD.csv,2025-01-27 15:30:00,4,946.43,0.0,100.0,103.02333333333333,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.60333333333334,,84.0,69.0,85.0,68.0,0.0,,1.0,-1.0,,
QQ.csv,2025-01-27 15:30:00,4,444.9633333333333,0.0,97.33333333333331,62.72666666666667,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.95333333333333,0.0,67.0,69.0,85.0,68.0,,,,,,
HH.csv,2025-01-27 15:30:00,4,645.5533333333333,0.0,100.0,88.75,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.84333333333333,,67.0,69.0,68.0,68.0,0.0,,1.0,-1.0,,
GG.csv,2025-01-27 15:30:00,4,473.2166666666667,0.0,100.0,82.61333333333333,997.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.58999999999999,,67.0,69.0,85.0,68.0,486.6666666666667,,1.0,-1.0,,
RR.csv,2025-01-27 15:30:00,4,64.98333333333333,0.0,15.833333333333334,62.82333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,72.0,71.44666666666666,0.0,67.0,69.0,68.0,68.0,,,,,,
SS.csv,2025-01-27 15:30:00,4,64.27666666666666,0.0,45.833333333333336,62.9,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.04,0.0,67.0,69.0,85.0,55.0,,,,,,
II.csv,2025-01-27 15:30:00,4,743.02,0.0,100.0,85.77333333333333,1493.8100000000002,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.73333333333333,,84.0,69.0,85.0,68.0,0.0,,1.0,-1.0,,
FF.csv,2025-01-27 15:30:00,4,918.89,0.0,100.0,94.58666666666666,1599.75,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.57333333333334,,67.0,69.0,78.0,68.0,0.0,,1.0,-1.0,,
OO.csv,2025-01-27 15:30:00,4,63.57,0.0,5.333333333333333,65.66000000000001,63.57,0.0,70.99,18.136666666666667,74.0,0.0,70.0,0.0,71.33666666666666,0.0,67.0,69.0,85.0,68.0,,,,,,
I.csv,2025-01-27 15:30:00,4,648.3766666666667,0.0,98.5,64.41666666666667,639.9,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.94666666666667,,67.0,69.0,68.0,68.0,0.0,,,,,
H.csv,2025-01-27 15:30:00,4,651.1999999999999,0.0,100.0,82.62666666666667,849.67,0.0,70.0,76.89999999999999,74.0,0.0,70.0,72.0,70.14999999999999,,67.0,69.0,85.0,68.0,,,,,,
J.csv,2025-01-27 15:30:00,4,635.6633333333333,0.0,13.666666666666666,60.93333333333334,642.02,0.0,70.0,100.0,74.0,0.0,70.0,72.0,66.45666666666666,,67.0,69.0,85.0,55.0,480.6666666666667,,,,,
UU.csv,2025-01-27 15:30:00,4,627.1899999999999,0.0,87.16666666666667,68.59333333333333,620.1233333333333,0.0,70.47,27.08,74.0,0.0,73.0,70.99333333333333,70.65666666666667,0.0,64.0,71.0,65.0,65.0,,,,,,
K.csv,2025-01-27 15:30:00,4,908.2933333333334,100.0,100.0,62.74333333333333,1875.21,0.0,66.99,0.0,74.0,0.0,70.0,0.0,68.99,59.35666666666666,67.0,69.0,85.0,55.0,486.6666666666667,,,,,
O.csv,2025-01-27 15:30:00,4,596.82,0.0,82.16666666666667,63.26666666666667,599.64,0.0,68.0,0.0,74.0,0.0,70.0,70.0,69.25333333333333,0.0,67.0,69.0,68.0,68.0,1.0,,,,,
X.csv,2025-01-27 15:30:00,4,62.86333333333334,0.0,22.166666666666668,62.656666666666666,63.57,0.0,68.0,0.0,74.0,0.0,70.0,70.0,68.56,0.0,67.0,69.0,68.0,68.0,,,,,,
TT.csv,2025-01-27 15:30:00,4,584.81,0.0,45.0,63.36333333333334,584.81,0.0,70.48,0.0,74.0,0.0,70.0,0.0,70.37,0.0,67.0,69.0,85.0,55.0,,,,,,
Y.csv,2025-01-27 15:30:00,4,139.14333333333332,0.0,47.0,68.28333333333335,139.85,0.0,70.0,29.03,74.0,0.0,70.0,0.0,70.12666666666667,0.0,84.0,69.0,85.0,68.0,527.3333333333334,,,,,
N.csv,2025-01-27 15:30:00,4,609.5300000000001,0.0,97.5,89.57666666666667,601.76,0.0,70.0,100.0,74.0,0.0,70.0,0.0,68.68333333333334,0.0,84.0,69.0,85.0,68.0,1.0,,,,,
NN.csv,2025-01-27 15:30:00,4,63.57,0.0,4.666666666666667,81.13,63.57,0.0,72.97,48.47,74.0,0.0,70.0,74.97,73.09,0.0,67.0,69.0,68.0,68.0,,,,,,
AA.csv,2025-01-27 15:30:00,4,725.3633333333333,0.0,73.83333333333333,91.44333333333331,726.7766666666666,0.0,70.0,85.14333333333333,74.0,0.0,70.0,72.0,70.39,,67.0,69.0,85.0,68.0,0.0,,1.0,-1.0,,
L.csv,2025-01-27 15:30:00,4,606.0,0.0,93.66666666666669,66.18333333333334,599.64,0.0,70.0,21.826666666666668,74.0,0.0,70.0,0.0,70.55,59.35666666666666,67.0,69.0,68.0,68.0,0.0,,,,,
Z.csv,2025-01-27 15:30:00,4,167.39,0.0,50.5,95.61333333333332,167.39,0.0,71.49,73.04666666666667,75.0,0.0,68.0,74.98,71.76,0.0,84.0,69.0,85.0,68.0,497.6666666666667,,,,,
M.csv,2025-01-27 15:30:00,4,507.8233333333333,0.0,100.0,102.17333333333332,599.64,0.0,70.0,81.50333333333333,74.0,0.0,70.0,0.0,70.41666666666667,59.35666666666666,67.0,69.0,78.0,62.0,1.0,,,,,
W.csv,2025-01-27 14:30:00,0,442.845,0.0,1.75,65.22999999999999,449.2,0.0,68.49,26.97,74.0,0.0,70.0,0.0,68.87,0.0,67.0,69.0,68.0,68.0,,,,,,
V.csv,2025-01-27 14:30:00,0,151.5,0.0,54.0,87.53,152.56,0.0,70.0,100.0,74.0,0.0,70.0,0.0,67.83500000000001,0.0,67.0,69.0,68.0,68.0,524.0,,,,,
A.csv,2025-01-27 14:30:00,0,472.51,0.0,6.0,91.85,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.20500000000001,,84.0,69.0,78.0,68.0,,,,,,
