time,AirFlow,Air_Flow_Diff,AirflowSpRht,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 20:45:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 21:00:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 21:15:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 21:30:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 21:45:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 22:00:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 22:15:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 22:30:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 22:45:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 23:00:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 23:15:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 23:30:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-27 23:45:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-28 00:00:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-28 00:15:00,,-485.22,,,,,,,,,,,,,,,-1.1200000000000045,,,,,,,
2025-01-28 14:30:00,620.83,,,0.0,100.0,65.89500000000001,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.01,,,67.0,69.0,68.0,68.0,,
2025-01-28 14:45:00,620.83,,,0.0,100.0,66.08666666666666,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.01,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:00:00,617.3000000000001,,,0.0,100.0,66.28666666666668,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.01666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:15:00,625.7766666666666,,,0.0,100.0,66.49333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.01,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:30:00,622.9533333333334,,,0.0,100.0,66.74,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.01666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:45:00,627.1866666666666,,,0.0,100.0,66.96333333333332,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.02333333333333,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:00:00,617.3033333333334,,,0.0,100.0,67.17,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.99,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:15:00,613.0633333333334,,,0.0,100.0,67.49333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.88666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:30:00,618.7133333333334,,,0.0,100.0,67.76333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.90666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:45:00,615.8866666666667,,,0.0,100.0,67.98666666666666,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.88,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:00:00,624.3633333333333,,,0.0,100.0,68.21333333333332,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.88,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:15:00,618.7133333333333,,,0.0,100.0,68.48,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.86,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:30:00,623.6566666666666,,,0.0,100.0,68.68333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.83666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:45:00,615.8866666666667,,,0.0,100.0,68.97666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.83999999999999,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:00:00,648.38,,,0.0,100.0,68.48666666666666,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.86666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:15:00,745.8466666666667,,,0.0,100.0,66.33999999999999,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.69,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:30:00,758.56,,,0.0,100.0,65.87666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.41333333333334,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:45:00,755.7333333333332,,,0.0,100.0,65.77333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31,,,67.0,69.0,68.0,68.0,,
2025-01-28 19:00:00,769.86,,,0.0,100.0,66.02,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.32,,,67.0,69.0,68.0,68.0,,
2025-01-28 19:15:00,780.4533333333334,-332.6600000000001,,0.0,100.0,65.86333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31666666666666,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
