time,AirFlow,Air_Flow_Diff,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-03-10 17:45:00,547.3766666666667,-14.830000000000041,26.24,2.0,47.166666666666664,61.663333333333334,555.85,0.0,70.0,2.0,0.0,,0.0,,,69.93666666666667,,,67.0,69.0,,,0.9299999999999997,0.0
2025-03-10 18:00:00,553.0266666666666,2.1200000000000045,25.046666666666667,2.0,46.833333333333336,62.25333333333333,549.4966666666666,0.0,70.0,2.0,0.0,,0.0,,,69.92333333333333,,,67.0,69.0,,,0.8900000000000006,0.0
2025-03-10 18:15:00,505.70666666666665,-4.240000000000009,17.613333333333333,2.0,43.833333333333336,62.31333333333333,504.2966666666666,0.0,70.0,2.0,0.0,,0.0,,,69.72,,,67.0,69.0,,,0.8999999999999986,0.0
2025-03-10 18:30:00,420.9533333333334,-4.229999999999961,3.876666666666667,2.0,38.833333333333336,62.21,423.77666666666664,0.0,70.0,2.0,0.0,,0.0,,,69.41666666666667,,,67.0,69.0,,,1.0700000000000003,0.0
2025-03-10 18:45:00,402.58666666666664,-2.1200000000000045,0.06333333333333334,2.0,37.166666666666664,62.166666666666664,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.39666666666666,,,67.0,69.0,,,1.0499999999999972,0.0
2025-03-10 19:00:00,404.7033333333334,10.589999999999975,0.0,2.0,37.0,62.43666666666667,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.40666666666667,,,67.0,69.0,,,0.980000000000004,0.0
2025-03-10 19:15:00,400.47,-2.1200000000000045,0.0,2.0,37.0,62.32,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.34333333333333,,,67.0,69.0,,,0.9699999999999989,0.0
2025-03-10 19:30:00,397.64000000000004,-8.480000000000018,0.0,2.0,37.0,62.053333333333335,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.3,,,67.0,69.0,,,1.0499999999999972,0.0
2025-03-10 19:45:00,394.10999999999996,-4.240000000000009,0.0,2.0,37.0,62.00333333333333,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.24333333333333,,,67.0,69.0,,,0.8799999999999955,0.0
2025-03-10 20:00:00,401.8833333333334,4.239999999999952,0.0,2.0,36.666666666666664,62.14666666666667,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.22666666666667,,,67.0,69.0,,,0.9400000000000048,0.0
2025-03-10 20:15:00,400.47,4.239999999999952,0.0,2.0,36.5,62.24333333333333,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.27666666666666,,,67.0,69.0,,,0.9400000000000048,0.0
2025-03-10 20:30:00,394.10999999999996,-8.480000000000018,0.0,2.0,36.333333333333336,62.24,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.33999999999999,,,67.0,69.0,,,0.8999999999999986,0.0
2025-03-10 20:45:00,398.34999999999997,4.239999999999952,0.0,2.0,36.166666666666664,62.05666666666667,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.3,,,67.0,69.0,,,0.8800000000000026,0.0
2025-03-10 21:00:00,394.1133333333334,-4.240000000000009,0.0,2.0,36.0,62.156666666666666,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.28666666666668,,,67.0,69.0,,,0.8399999999999963,0.0
2025-03-10 21:15:00,397.6433333333334,,0.0,,36.0,62.126666666666665,400.47,0.0,70.0,,0.0,,0.0,,,69.37,,,67.0,69.0,,,,
2025-03-10 21:30:00,399.7633333333333,2.1199999999999477,0.0,2.0,36.166666666666664,61.96666666666667,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.55666666666666,,,67.0,69.0,,,0.9400000000000048,0.0
2025-03-10 21:45:00,396.93666666666667,-2.1200000000000045,0.0,2.0,36.0,62.07666666666666,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.56333333333333,,,67.0,69.0,,,0.8599999999999994,0.0
2025-03-10 22:00:00,399.76,6.349999999999966,0.0,2.0,36.166666666666664,61.916666666666664,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.55,,,67.0,69.0,,,0.8100000000000023,0.0
2025-03-10 22:15:00,401.87999999999994,4.239999999999952,0.0,2.0,36.0,61.78333333333333,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.52333333333333,,,67.0,69.0,,,0.8599999999999994,0.0
2025-03-10 22:30:00,397.6433333333334,-6.360000000000014,0.0,2.0,36.0,61.72666666666667,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.57,,,67.0,69.0,,,0.8599999999999994,0.0
2025-03-10 22:45:00,401.87999999999994,-8.480000000000018,0.0,2.0,36.5,61.49,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.67999999999999,,,67.0,69.0,,,0.8699999999999974,0.0
2025-03-10 23:00:00,403.29333333333335,6.349999999999966,0.0,2.0,36.166666666666664,61.28,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.84666666666666,,,67.0,69.0,,,0.8500000000000014,0.0
2025-03-10 23:15:00,398.34999999999997,-4.240000000000009,0.0,2.0,36.166666666666664,61.03666666666667,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.79333333333334,,,67.0,69.0,,,0.8200000000000003,0.0
2025-03-10 23:30:00,407.53,6.349999999999966,0.0,2.0,36.166666666666664,60.73,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.70333333333333,,,67.0,69.0,,,0.8299999999999983,0.0
2025-03-10 23:45:00,401.87999999999994,-4.240000000000009,0.0,2.0,36.0,60.333333333333336,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.76666666666667,,,67.0,69.0,,,0.8200000000000003,0.0
2025-03-11 00:00:00,396.23,-6.360000000000014,0.0,2.0,36.0,60.04666666666666,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.77,,,67.0,69.0,,,0.9299999999999997,0.0
2025-03-11 00:15:00,397.6433333333334,0.0,0.0,2.0,36.166666666666664,60.03666666666667,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.69666666666666,,,67.0,69.0,,,0.9699999999999989,0.0
2025-03-11 00:30:00,401.1766666666667,0.0,0.0,2.0,36.666666666666664,59.973333333333336,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.71,,,67.0,69.0,,,1.0300000000000011,0.0
