time,AirFlow,Air_Flow_Diff,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 21:15:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 21:30:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 21:45:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 22:00:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 22:15:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 22:30:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 22:45:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 23:00:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 23:15:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 23:30:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-27 23:45:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-28 00:00:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-28 00:15:00,,-4.240000000000009,,,,,,,,,,,,,,,-7.559999999999988,,,,,,,
2025-01-28 14:30:00,546.67,,0.0,,44.25,88.98500000000001,538.2,0.0,82.99,,100.0,74.0,0.0,70.0,0.0,74.63,,,67.0,69.0,85.0,68.0,,
2025-01-28 14:45:00,539.61,,0.0,,44.333333333333336,89.17999999999999,538.2,0.0,82.99,,100.0,74.0,0.0,70.0,0.0,74.46333333333332,,,67.0,69.0,85.0,68.0,,
2025-01-28 15:00:00,520.54,,0.0,,44.5,89.56333333333333,538.2,0.0,82.99,,100.0,74.0,0.0,70.0,0.0,74.02,,,67.0,69.0,85.0,68.0,,
