time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-02-18 10:45:00,141.25666666666666,2.1100000000000136,0.0,45.0,68.94666666666667,139.85,0.0,70.0,41.42333333333334,,0.0,,409.0,,69.97333333333334,,,84.0,69.0,,,15.890000000000008,0.0
2025-02-18 11:00:00,139.85,0.0,0.0,45.0,69.10333333333334,139.85,0.0,70.0,41.64333333333334,,0.0,,411.0,,69.96,,,84.0,69.0,,,15.869999999999997,0.0
2025-02-18 11:15:00,139.85,0.0,0.0,45.0,69.10000000000001,139.85,0.0,70.0,41.56666666666667,,0.0,,413.0,,69.98,,,84.0,69.0,,,15.949999999999996,0.0
2025-02-18 11:30:00,139.85,0.0,0.0,45.0,68.97333333333334,139.85,0.0,70.0,41.74,,0.0,,413.6666666666667,,69.98,,,84.0,69.0,,,15.940000000000005,0.0
2025-02-18 11:45:00,139.85,0.0,0.0,45.0,69.01333333333334,139.85,0.0,70.0,41.86666666666667,,0.0,,415.0,,69.98,,,84.0,69.0,,,15.840000000000003,0.0
2025-02-18 12:00:00,139.14333333333332,0.0,0.0,45.0,69.04,139.85,0.0,70.0,41.93666666666667,,0.0,,416.3333333333333,,69.98,,,84.0,69.0,,,15.960000000000008,0.0
2025-02-18 12:15:00,137.02333333333334,-4.239999999999981,0.0,47.166666666666664,69.27333333333333,139.85,0.0,70.0,41.54,,0.0,,419.0,,69.99666666666667,,,84.0,69.0,,,16.250000000000007,0.0
2025-02-18 12:30:00,139.14333333333332,0.0,0.0,48.0,68.77666666666667,139.85,0.0,70.0,41.18,,0.0,,419.0,,70.01,,,84.0,69.0,,,15.640000000000008,0.0
2025-02-18 12:45:00,138.43666666666664,0.0,0.0,48.0,68.77666666666667,139.85,0.0,70.0,40.85333333333333,,0.0,,420.3333333333333,,70.01666666666667,,,84.0,69.0,,,15.910000000000004,0.0
2025-02-18 13:00:00,138.43666666666667,-4.239999999999981,0.0,50.333333333333336,69.18333333333334,139.85,0.0,70.0,41.72666666666667,,0.0,,423.0,,69.97333333333334,,,84.0,69.0,,,16.18,0.0
2025-02-18 13:15:00,141.96,2.1100000000000136,0.0,47.666666666666664,69.44,139.85,0.0,70.0,42.43333333333334,,0.0,,425.3333333333333,,69.94333333333333,,,84.0,69.0,,,15.889999999999993,0.0
2025-02-18 13:30:00,141.96,2.1100000000000136,0.0,46.833333333333336,70.11333333333333,139.85,0.0,70.0,43.93,,0.0,,427.0,,69.91000000000001,,,84.0,69.0,,,16.53,0.0
2025-02-18 13:45:00,141.96,2.1100000000000136,0.0,46.5,70.71666666666667,139.85,0.0,70.0,45.89666666666667,,0.0,,431.3333333333333,,69.85,,,84.0,69.0,,,17.240000000000002,0.0
2025-02-18 14:00:00,140.5533333333333,0.0,0.0,46.0,71.27666666666666,139.85,0.0,70.0,47.126666666666665,,0.0,,438.6666666666667,,69.84,,,84.0,69.0,,,17.949999999999996,0.0
2025-02-18 14:15:00,141.25666666666666,2.1100000000000136,0.0,45.5,71.06666666666666,139.85,0.0,70.0,46.833333333333336,,0.0,,444.6666666666667,,69.90333333333334,,,84.0,69.0,,,18.629999999999995,0.0
