time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 21:30:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 21:45:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 22:00:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 22:15:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 22:30:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 22:45:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 23:00:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 23:15:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 23:30:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-27 23:45:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-28 00:00:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-28 00:15:00,,-2.1200000000000045,,,,,,,,,,,,,-0.7199999999999989,,,,,,,
2025-01-28 14:30:00,478.865,,0.0,4.75,82.19,480.99,0.0,70.0,57.495000000000005,74.0,0.0,70.0,72.0,70.52,,,84.0,69.0,78.0,68.0,,
2025-01-28 14:45:00,478.8666666666666,,0.0,5.5,82.13333333333333,480.99,0.0,70.0,57.120000000000005,74.0,0.0,70.0,72.0,70.39,,,84.0,69.0,78.0,68.0,,
2025-01-28 15:00:00,468.97666666666663,,0.0,6.166666666666667,82.32333333333334,480.99,0.0,70.0,57.36333333333334,74.0,0.0,70.0,72.0,70.24333333333334,,,84.0,69.0,78.0,68.0,,
2025-01-28 15:15:00,477.45666666666665,,0.0,5.5,82.03,480.99,0.0,70.0,56.69,74.0,0.0,70.0,72.0,70.20666666666666,,,84.0,69.0,78.0,68.0,,
2025-01-28 15:30:00,471.8033333333333,,0.0,5.166666666666667,80.57000000000001,480.99,0.0,70.0,51.96333333333333,74.0,0.0,70.0,72.0,70.34333333333333,,,84.0,69.0,78.0,68.0,,
2025-01-28 15:45:00,473.92333333333335,,0.0,5.666666666666667,80.24000000000001,480.99,0.0,70.0,51.22666666666667,74.0,0.0,70.0,72.0,70.25333333333333,,,84.0,69.0,78.0,68.0,,
