time,AirFlow,Air_Flow_Diff,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 20:45:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 21:00:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 21:15:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 21:30:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 21:45:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 22:00:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 22:15:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 22:30:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 22:45:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 23:00:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 23:15:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 23:30:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-27 23:45:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-28 00:00:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-28 00:15:00,,-23.309999999999945,,,,,,,,,,,,,,,,-0.5999999999999943,,,,,,,
2025-01-28 14:30:00,638.845,,0.0,,98.5,65.87,639.9,0.0,70.0,,100.0,74.0,0.0,70.0,0.0,72.0,69.34,,,67.0,69.0,68.0,68.0,,
2025-01-28 14:45:00,637.0766666666667,,0.0,,98.16666666666667,66.05,639.9,0.0,70.0,,100.0,74.0,0.0,70.0,0.0,72.0,69.3,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:00:00,641.3133333333334,,0.0,,98.5,66.26666666666667,639.9,0.0,70.0,,100.0,74.0,0.0,70.0,0.0,72.0,69.33999999999999,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:15:00,631.4266666666666,,0.0,,98.83333333333333,66.47666666666667,639.9,0.0,70.0,,100.0,74.0,0.0,70.0,0.0,72.0,69.60333333333334,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:30:00,631.4266666666666,,0.0,,99.0,66.72666666666667,639.1933333333333,0.0,70.0,,98.99666666666667,74.0,0.0,70.0,0.0,72.0,70.02,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:45:00,643.4333333333334,,0.0,,99.33333333333333,66.98666666666666,637.78,0.0,70.0,,91.23666666666666,74.0,0.0,70.0,0.0,72.0,70.34666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:00:00,644.14,,0.0,,98.16666666666667,67.21333333333332,637.78,0.0,70.0,,81.79666666666667,74.0,0.0,70.0,0.0,72.0,70.62333333333333,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:15:00,628.6033333333334,,0.0,,96.0,67.53,637.78,0.0,70.0,,71.58,74.0,0.0,70.0,0.0,72.0,70.86333333333333,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:30:00,635.6666666666666,,0.0,,96.33333333333333,67.78666666666668,637.78,0.0,70.0,,62.45000000000001,74.0,0.0,70.0,0.0,72.0,70.95666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:45:00,642.02,,0.0,,96.5,68.03,637.78,0.0,70.0,,55.776666666666664,74.0,0.0,70.0,0.0,72.0,70.93333333333334,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:00:00,636.37,,0.0,,96.33333333333333,68.22333333333334,637.78,0.0,70.0,,51.583333333333336,74.0,0.0,70.0,0.0,72.0,70.81,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:15:00,631.4233333333333,,0.0,,97.0,68.51,637.78,0.0,70.0,,47.21666666666666,74.0,0.0,70.0,0.0,72.0,70.73,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:30:00,633.5466666666666,,0.0,,97.16666666666667,68.70333333333333,637.78,0.0,70.0,,43.32666666666666,74.0,0.0,70.0,0.0,72.0,70.67333333333333,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:45:00,641.3166666666666,,0.0,,97.0,69.00333333333333,637.78,0.0,70.0,,37.85333333333333,74.0,0.0,70.0,0.0,72.0,70.68,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:00:00,632.8366666666667,,0.0,,95.16666666666667,68.50666666666667,637.78,0.0,70.0,,33.330000000000005,74.0,0.0,70.0,0.0,72.0,70.64999999999999,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:15:00,644.14,,0.0,,88.83333333333333,66.31666666666666,637.78,0.0,70.0,,29.61,74.0,0.0,70.0,0.0,72.0,70.60666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:30:00,646.2566666666667,,0.0,,87.83333333333333,65.83333333333333,637.78,0.0,70.0,,26.666666666666668,74.0,0.0,70.0,0.0,72.0,70.53333333333335,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:45:00,645.5500000000001,,0.0,,88.16666666666667,65.74,637.78,0.0,70.0,,22.873333333333335,74.0,0.0,70.0,0.0,72.0,70.52666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 19:00:00,629.3066666666667,,0.0,,87.83333333333333,65.92999999999999,637.78,0.0,70.0,,20.16,74.0,0.0,70.0,0.0,72.0,70.45666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 19:15:00,627.19,-2.1200000000000045,0.0,,86.83333333333333,65.71333333333332,637.78,0.0,70.0,,19.073333333333334,74.0,0.0,70.0,0.0,72.0,70.35666666666667,0.39000000000000057,,67.0,69.0,68.0,68.0,,
2025-01-28 19:30:00,644.14,-4.230000000000018,0.0,,86.33333333333333,65.61,637.78,0.0,70.0,,18.996666666666666,74.0,0.0,70.0,0.0,72.0,70.25,0.29999999999999716,,67.0,69.0,68.0,68.0,,
2025-01-28 19:45:00,638.4899999999999,-4.230000000000018,0.0,,86.5,65.54333333333334,637.78,0.0,70.0,,17.19,74.0,0.0,70.0,0.0,72.0,70.24333333333334,0.25,,67.0,69.0,68.0,68.0,,
2025-01-28 20:00:00,629.31,-2.1200000000000045,0.0,,86.5,65.66666666666667,637.78,0.0,70.0,,15.32,74.0,0.0,70.0,0.0,72.0,70.23666666666666,0.25,,67.0,69.0,68.0,68.0,,
2025-01-28 20:15:00,639.1933333333333,-23.299999999999955,0.0,,85.0,65.63,637.78,0.0,70.0,,15.653333333333334,74.0,0.0,70.0,0.0,72.0,70.14666666666666,0.20999999999999375,,67.0,69.0,68.0,68.0,,
2025-01-28 20:30:00,631.4266666666666,16.950000000000045,0.0,,84.0,65.26,637.78,0.0,70.0,,15.959999999999999,74.0,0.0,70.0,0.0,72.0,70.08999999999999,0.12000000000000455,,67.0,69.0,68.0,68.0,,
2025-01-28 20:45:00,622.9533333333334,2.1200000000000045,0.0,,83.83333333333333,65.26666666666667,637.78,0.0,70.0,,17.68,74.0,0.0,70.0,0.0,72.0,69.98,0.06999999999999318,,67.0,69.0,68.0,68.0,,
2025-01-28 21:00:00,638.4866666666667,-23.299999999999955,0.0,,83.5,65.27,637.78,0.0,70.0,,17.63,74.0,0.0,70.0,0.0,72.0,69.98,-0.01999999999999602,,67.0,69.0,68.0,68.0,,
2025-01-28 21:15:00,623.66,0.0,0.0,,83.16666666666667,65.23333333333333,637.78,0.0,70.0,,18.19666666666667,74.0,0.0,70.0,0.0,72.0,69.95333333333333,-0.01999999999999602,,67.0,69.0,68.0,68.0,,
2025-01-28 21:30:00,626.4833333333333,-29.659999999999968,0.0,,82.66666666666667,65.16666666666667,637.78,0.0,70.0,,21.169999999999998,74.0,0.0,70.0,0.0,72.0,69.84666666666666,-0.060000000000002274,,67.0,69.0,68.0,68.0,,
2025-01-28 21:45:00,634.2533333333333,-19.069999999999936,0.0,,83.0,65.1,637.78,0.0,70.0,,22.55333333333333,74.0,0.0,70.0,0.0,72.0,69.83333333333333,-0.1599999999999966,,67.0,69.0,68.0,68.0,,
2025-01-28 22:00:00,643.4333333333333,-29.659999999999968,0.0,,82.66666666666667,65.11,637.78,0.0,70.0,,23.536666666666665,74.0,0.0,70.0,0.0,72.0,69.84333333333333,-0.18000000000000682,,67.0,69.0,68.0,68.0,,
2025-01-28 22:15:00,642.7266666666666,2.1200000000000045,0.0,,82.66666666666667,65.0,637.78,0.0,70.0,,24.583333333333332,74.0,0.0,70.0,0.0,72.0,69.84666666666666,-0.15000000000000568,,67.0,69.0,68.0,68.0,,
2025-01-28 22:30:00,644.8466666666667,21.190000000000055,0.0,,82.83333333333333,64.84666666666668,637.78,0.0,70.0,,26.25666666666667,74.0,0.0,70.0,0.0,72.0,69.82000000000001,-0.15000000000000568,,67.0,69.0,68.0,68.0,,
2025-01-28 22:45:00,644.8466666666667,8.480000000000018,0.0,,83.16666666666667,64.62,637.78,0.0,70.0,,28.136666666666667,74.0,0.0,70.0,0.0,72.0,69.79666666666667,-0.21999999999999886,,67.0,69.0,68.0,68.0,,
2025-01-28 23:00:00,638.49,6.360000000000014,0.0,,83.66666666666667,64.28666666666668,637.78,0.0,70.0,,32.13,74.0,0.0,70.0,0.0,72.0,69.69,-0.29000000000000625,,67.0,69.0,68.0,68.0,,
