time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 21:15:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 21:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 21:45:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:00:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:15:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:45:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:00:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:15:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:45:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-28 00:00:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-28 00:15:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-28 14:30:00,152.56,,0.0,4.75,66.94999999999999,152.56,0.0,68.0,23.240000000000002,74.0,0.0,70.0,505.0,0.0,68.07,,,67.0,69.0,68.0,68.0,,
2025-01-28 14:45:00,150.44,,0.0,4.833333333333333,67.02,152.56,0.0,68.0,23.156666666666666,74.0,0.0,70.0,522.0,0.0,68.04666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:00:00,151.14666666666668,,0.0,4.833333333333333,66.89,152.56,0.0,68.0,21.04,74.0,0.0,70.0,524.0,0.0,68.11666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:15:00,151.85333333333332,,0.0,6.166666666666667,66.44666666666667,152.56,0.0,68.0,18.543333333333333,74.0,0.0,70.0,556.6666666666666,0.0,68.19333333333334,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:30:00,151.85333333333332,,0.0,5.5,64.81666666666666,152.56,0.0,68.0,4.446666666666666,74.0,0.0,70.0,758.6666666666666,0.0,68.95666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 15:45:00,151.14666666666668,,0.0,6.333333333333333,64.68666666666667,152.56,0.0,68.0,0.0,74.0,0.0,70.0,936.3333333333334,0.0,70.02,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:00:00,151.14666666666668,,0.0,6.833333333333333,64.95,152.56,0.0,68.0,0.0,74.0,0.0,70.0,967.6666666666666,0.0,70.55666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:15:00,151.85333333333332,,0.0,6.833333333333333,65.24333333333334,152.56,0.0,68.0,0.0,74.0,0.0,70.0,682.6666666666666,0.0,69.92666666666666,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:30:00,151.85333333333332,,0.0,5.833333333333333,65.44333333333333,152.56,0.0,68.0,0.0,74.0,0.0,70.0,609.3333333333334,0.0,69.77,,,67.0,69.0,68.0,68.0,,
2025-01-28 16:45:00,152.56,,0.0,4.833333333333333,65.62333333333333,152.56,0.0,68.0,0.0,74.0,0.0,70.0,537.3333333333334,0.0,69.22333333333334,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:00:00,149.73333333333332,,0.0,4.833333333333333,65.88,152.56,0.0,68.0,0.0,74.0,0.0,70.0,524.6666666666666,0.0,69.02333333333333,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:15:00,151.14666666666668,,0.0,6.666666666666667,66.07,152.56,0.0,68.0,0.0,74.0,0.0,70.0,524.0,0.0,68.89333333333333,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:30:00,149.73333333333332,,0.0,6.833333333333333,66.39333333333333,152.56,0.0,68.0,0.0,74.0,0.0,70.0,521.0,0.0,68.85333333333334,,,67.0,69.0,68.0,68.0,,
2025-01-28 17:45:00,151.14666666666668,,0.0,7.0,66.74,152.56,0.0,68.0,0.0,74.0,0.0,70.0,521.6666666666666,0.0,68.81,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:00:00,151.85333333333332,,0.0,6.5,66.87666666666667,152.56,0.0,68.0,0.0,74.0,0.0,70.0,530.3333333333334,0.0,68.74666666666667,,,67.0,69.0,68.0,68.0,,
2025-01-28 18:15:00,151.14666666666668,,0.0,7.0,67.19333333333333,152.56,0.0,68.0,0.0,74.0,0.0,70.0,541.3333333333334,0.0,68.77,,,67.0,69.0,68.0,68.0,,
