time,ClgPct,ClgStg02Cmd,EffRmSp,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,record_index
2025-01-28 17:45:00,0.0,1.0,68.2,0.0,1.0,1.0,64.36666666666666,1.0,1.0,0.0,29.0,58.5,70.0,69.83333333333333,100.0,33
2025-01-28 18:00:00,0.0,1.0,68.2,0.0,1.0,1.0,64.53333333333333,1.0,1.0,0.0,28.0,58.333333333333336,70.0,70.03333333333333,100.0,34
2025-01-28 18:15:00,0.0,1.0,68.2,0.0,1.0,1.0,64.66666666666667,1.0,1.0,0.0,28.0,59.16666666666666,70.0,70.16666666666667,100.0,35
2025-01-28 18:30:00,0.0,1.0,68.2,0.0,1.0,1.0,64.93333333333334,1.0,1.0,0.0,28.0,60.0,70.0,70.56666666666666,100.0,36
2025-01-28 18:45:00,0.0,1.0,68.2,0.0,1.0,1.0,65.0,1.0,1.0,0.0,28.0,59.6,70.0,70.8,100.0,37
2025-01-28 19:00:00,0.0,1.0,68.2,0.0,1.0,1.0,65.06666666666666,1.0,1.0,0.0,28.0,60.6,70.0,70.56666666666666,100.0,38
2025-01-28 19:15:00,0.0,1.0,68.2,0.0,1.0,1.0,65.1,1.0,1.0,0.0,28.0,61.03333333333333,70.0,70.23333333333333,100.0,39
2025-01-28 19:30:00,0.0,1.0,68.2,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.33333333333333,61.26666666666667,70.0,69.86666666666666,100.0,40
2025-01-28 19:45:00,0.0,1.0,68.2,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.0,60.43333333333334,70.0,69.76666666666667,100.0,41
2025-01-28 20:00:00,0.0,1.0,68.2,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.0,61.06666666666666,70.0,69.7,100.0,42
2025-01-28 20:15:00,0.0,1.0,68.2,0.0,1.0,1.0,65.16666666666667,1.0,1.0,0.0,27.0,61.96666666666667,70.0,69.7,100.0,43
2025-01-28 20:30:00,0.0,1.0,68.2,0.0,1.0,1.0,65.3,1.0,1.0,0.0,27.0,62.13333333333333,70.0,69.46666666666667,100.0,44
2025-01-28 20:45:00,0.0,1.0,68.2,0.0,1.0,1.0,65.23333333333333,1.0,1.0,0.0,27.0,62.0,70.0,69.4,100.0,45
2025-01-28 21:00:00,0.0,1.0,68.2,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.33333333333333,60.333333333333336,70.0,69.26666666666667,100.0,46
2025-01-28 21:15:00,0.0,1.0,68.2,0.0,1.0,1.0,65.1,1.0,1.0,0.0,28.0,59.26666666666667,70.0,68.93333333333334,100.0,47
2025-01-28 21:30:00,0.0,1.0,68.2,0.0,1.0,1.0,65.03333333333333,1.0,1.0,0.0,28.0,59.53333333333333,70.0,68.66666666666667,100.0,48
2025-01-28 21:45:00,0.0,1.0,68.2,0.0,1.0,1.0,64.93333333333334,1.0,1.0,0.0,28.33333333333333,58.7,70.0,68.46666666666667,100.0,49
2025-01-28 22:00:00,0.0,1.0,68.2,0.0,1.0,1.0,64.73333333333333,1.0,1.0,0.0,29.0,58.96666666666667,70.0,68.36666666666667,100.0,50
2025-01-28 22:15:00,0.0,1.0,68.2,0.0,1.0,1.0,64.6,1.0,1.0,0.0,29.0,58.36666666666667,70.0,68.3,100.0,51
