time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,SuplFanSts,UnoccClgSp,UnoccHtgSp,record_index
2025-01-27 18:45:00,0.0133333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.626666666666665,68.74000000000001,100.0,0.3333333333333333,63.10333333333333,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,16
2025-01-27 19:15:00,0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.26,68.98666666666666,100.0,0.3466666666666667,63.43666666666667,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,17
2025-01-27 19:45:00,-0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.26333333333333,69.00333333333333,100.0,0.34,63.370000000000005,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,18
2025-01-27 20:15:00,0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.89666666666667,69.08,100.0,0.3433333333333333,63.60666666666666,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,19
2025-01-28 14:30:00,-0.02,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,38.906666666666666,67.98666666666666,100.0,0.3333333333333333,61.64333333333334,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,20
2025-01-28 14:45:00,0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.47666666666667,68.08999999999999,100.0,0.33,61.876666666666665,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,21
2025-01-28 15:00:00,-0.0133333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.803333333333335,68.14999999999999,100.0,0.34,62.13333333333333,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,22
2025-01-28 15:15:00,0.0166666666666666,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.32,68.3,100.0,0.3366666666666666,62.44333333333333,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,23
2025-01-28 15:30:00,-0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.99,68.38000000000001,100.0,0.3333333333333333,62.76666666666667,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,24
2025-01-28 15:45:00,0.01,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.556666666666665,68.53333333333333,100.0,0.3333333333333333,63.04333333333333,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,25
