time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,ExhFanStatus,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,record_index
2025-01-27 18:45:00,-0.0066666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3589.333333333333,41.21333333333333,69.79666666666667,100.0,0.9233333333333332,61.75666666666666,0.0,62.0,0.0,100.0,2.0,85.0,45.0,16
2025-01-27 19:15:00,-0.0266666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3455.0,42.080000000000005,69.87333333333333,100.0,0.9466666666666668,62.21333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,17
2025-01-27 19:45:00,0.01,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3505.0,41.836666666666666,69.84,100.0,0.9966666666666668,61.93333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,18
2025-01-27 20:15:00,0.01,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3446.333333333333,42.46,69.78333333333335,100.0,1.1,62.32,0.0,62.0,0.0,100.0,2.0,85.0,45.0,19
2025-01-28 14:30:00,0.0033333333333333,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3578.0,39.72333333333333,69.74666666666667,100.0,0.9,60.88333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,20
2025-01-28 14:45:00,-0.01,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3511.333333333333,40.19,69.78,100.0,0.9066666666666668,61.23666666666667,0.0,62.0,0.0,100.0,2.0,85.0,45.0,21
2025-01-28 15:00:00,-0.0066666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3539.0,40.75666666666667,69.83999999999999,100.0,0.9066666666666668,61.56,0.0,62.0,0.0,100.0,2.0,85.0,45.0,22
2025-01-28 15:15:00,-0.0066666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3571.0,41.18666666666667,69.96666666666665,100.0,0.8933333333333334,61.79666666666666,0.0,62.0,0.0,100.0,2.0,85.0,45.0,23
2025-01-28 15:30:00,0.0,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3514.6666666666665,41.63,70.05,100.0,0.8866666666666667,62.01666666666667,0.0,62.0,0.0,100.0,2.0,85.0,45.0,24
2025-01-28 15:45:00,0.0,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3553.333333333333,42.11666666666667,70.07,100.0,0.88,62.20333333333334,0.0,62.0,0.0,100.0,2.0,85.0,45.0,25
2025-01-28 16:00:00,-0.0066666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3519.0,42.74666666666667,70.16666666666667,100.0,0.8766666666666666,62.48333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,26
2025-01-28 16:15:00,-0.01,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3623.6666666666665,43.56666666666666,70.17333333333333,100.0,0.86,62.88666666666666,0.0,62.0,0.0,100.0,2.0,85.0,45.0,27
