time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,ExhFanStatus,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode
2025-01-27 14:30:00,0.0,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3591.0,31.12,68.86,100.0,0.84,57.0,0.0,62.0,0.0,100.0,2.0,85.0,45.0,
2025-01-27 14:45:00,0.0033333333333333335,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3689.3333333333335,31.33,69.02,100.0,0.82,57.36333333333334,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 15:00:00,-0.006666666666666667,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3643.3333333333335,32.07666666666667,69.10666666666667,100.0,0.8333333333333334,57.77,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 15:15:00,0.006666666666666667,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3652.6666666666665,32.88333333333333,69.21,100.0,0.8466666666666667,58.10999999999999,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 15:30:00,-0.0033333333333333335,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3592.0,33.663333333333334,69.24333333333334,100.0,0.8466666666666667,58.43666666666667,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 15:45:00,0.0,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3650.6666666666665,34.18333333333334,69.24000000000001,100.0,0.8466666666666667,58.70333333333334,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 16:00:00,-0.0033333333333333335,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3639.6666666666665,34.56333333333333,69.28333333333335,100.0,0.8433333333333333,58.84,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 16:15:00,-0.0033333333333333335,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3600.6666666666665,35.20666666666667,69.30333333333333,100.0,0.8633333333333333,59.083333333333336,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 16:30:00,-0.0033333333333333335,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3675.6666666666665,35.98333333333333,69.37666666666667,100.0,0.8666666666666667,59.53333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
2025-01-27 16:45:00,0.0,0.05000000000000001,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3521.3333333333335,36.57666666666666,69.41333333333334,100.0,0.88,59.88666666666666,0.0,62.0,0.0,100.0,2.0,85.0,45.0,5.0
