time,ClgPct,ClgStg01Cmd,ClgStg02Cmd,EffRmSp,ExhAirDmprFbk,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode
2025-01-27 20:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.53333333333333,1.0,1.0,0.0,23.0,53.76666666666667,70.0,68.16666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-27 20:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.4,1.0,1.0,0.0,24.0,53.76666666666667,70.0,67.86666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-27 21:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.29999999999999,1.0,1.0,0.0,24.0,53.46666666666666,70.0,67.63333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-27 21:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.1,1.0,1.0,0.0,24.0,52.96666666666667,70.0,67.23333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-27 21:30:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.56666666666666,1.0,1.0,0.0,23.0,53.06666666666666,70.0,68.06666666666666,100.0,2.0,80.0,60.0,5.0
2025-01-27 21:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.03333333333333,1.0,1.0,0.0,23.0,53.9,70.0,68.7,100.0,2.0,80.0,60.0,5.0
2025-01-27 22:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.199999999999996,1.0,1.0,0.0,23.0,51.86666666666667,70.0,67.46666666666665,100.0,2.0,80.0,60.0,5.0
2025-01-27 22:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.43333333333334,1.0,1.0,0.0,24.0,48.93333333333334,70.0,68.0,100.0,2.0,80.0,60.0,5.0
2025-01-27 22:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.4,1.0,1.0,0.0,25.0,48.166666666666664,70.0,68.56666666666666,100.0,2.0,80.0,60.0,5.0
2025-01-27 22:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.93333333333334,1.0,1.0,0.0,25.0,46.300000000000004,70.0,67.33333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-27 23:00:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.56666666666666,1.0,1.0,0.0,25.0,45.76666666666667,70.0,68.76666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-27 23:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.833333333333336,1.0,1.0,0.0,25.0,45.70000000000001,70.0,67.73333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-27 23:30:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.03333333333333,1.0,1.0,0.0,25.333333333333332,45.199999999999996,70.0,67.93333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-27 23:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.13333333333333,1.0,1.0,0.0,25.0,45.53333333333333,70.0,68.33333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 00:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.699999999999996,1.0,1.0,0.0,25.666666666666668,44.5,70.0,67.43333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-28 00:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.43333333333334,1.0,1.0,0.0,27.0,45.333333333333336,70.0,69.03333333333335,100.0,2.0,80.0,60.0,5.0
2025-01-28 00:30:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,61.46666666666667,1.0,1.0,0.0,27.0,44.699999999999996,70.0,67.26666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 00:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.56666666666666,1.0,1.0,0.0,27.0,44.56666666666666,70.0,69.23333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 01:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.53333333333333,1.0,1.0,0.0,27.0,44.6,70.0,67.3,100.0,2.0,80.0,60.0,5.0
2025-01-28 01:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.63333333333333,1.0,1.0,0.0,28.0,44.43333333333334,70.0,69.26666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 01:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.6,1.0,1.0,0.0,28.0,44.6,70.0,67.43333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-28 01:45:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.333333333333336,1.0,1.0,0.0,28.0,43.6,70.0,68.8,100.0,2.0,80.0,60.0,5.0
2025-01-28 02:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.666666666666664,1.0,1.0,0.0,28.666666666666668,44.166666666666664,70.0,67.53333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 02:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.166666666666664,1.0,1.0,0.0,29.0,43.36666666666667,70.0,68.3,100.0,2.0,80.0,60.0,5.0
2025-01-28 02:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.666666666666664,1.0,1.0,0.0,29.0,43.86666666666667,70.0,67.53333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 02:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.666666666666664,1.0,1.0,0.0,29.0,44.06666666666666,70.0,69.10000000000001,100.0,2.0,80.0,60.0,5.0
2025-01-28 03:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.6,1.0,1.0,0.0,29.0,44.13333333333333,70.0,67.36666666666666,100.0,2.0,80.0,60.0,5.0
2025-01-28 03:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.53333333333333,1.0,1.0,0.0,29.0,44.0,70.0,68.86666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 03:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.86666666666667,1.0,1.0,0.0,29.0,44.199999999999996,70.0,67.73333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 03:45:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,61.9,1.0,1.0,0.0,29.0,43.56666666666666,70.0,67.96666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 04:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.199999999999996,1.0,1.0,0.0,29.0,44.5,70.0,68.66666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 04:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,61.5,1.0,1.0,0.0,29.333333333333332,43.63333333333333,70.0,67.0,100.0,2.0,80.0,60.0,5.0
