time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,SuplFanSts,UnoccClgSp,UnoccHtgSp,oppMode
2025-02-10 14:00:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,31.069999999999997,66.59333333333333,100.0,0.35666666666666663,57.43666666666667,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 14:15:00,-0.01,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,31.94333333333333,66.75999999999999,100.0,0.35666666666666663,57.85333333333333,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 14:30:00,-0.01,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,32.47,66.89999999999999,100.0,0.36000000000000004,58.23666666666667,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 14:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,32.99333333333333,67.14333333333333,100.0,0.35666666666666663,58.61333333333334,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 15:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,32.92333333333333,67.31,100.0,0.3466666666666667,58.593333333333334,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 15:15:00,0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,33.413333333333334,67.41666666666667,100.0,0.35333333333333333,58.85,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 15:30:00,-0.01,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,33.78333333333333,67.51333333333334,100.0,0.3499999999999999,59.18,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 15:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,34.830000000000005,67.60333333333334,100.0,0.35666666666666663,59.71333333333334,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 16:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,35.129999999999995,67.70333333333333,100.0,0.35333333333333333,59.949999999999996,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 16:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,36.4,67.87333333333333,100.0,0.35333333333333333,60.57,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
