,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
51,2025-01-28 17:15:00,1094.753333333333,0.0,88.66666666666667,94.35333333333334,1089.1033333333337,70.0,84.88666666666667,74.0,70.0,72.0,70.10000000000001,84.0,69.0,85.0,68.0
52,2025-01-28 17:30:00,1088.4,0.0,88.5,94.76666666666668,1079.9233333333334,70.0,84.29333333333334,74.0,70.0,72.0,70.11,84.0,69.0,85.0,68.0
53,2025-01-28 17:45:00,1070.743333333333,0.0,87.0,93.95666666666666,1064.38,70.0,81.50666666666666,74.0,70.0,72.0,70.15666666666668,84.0,69.0,85.0,68.0
54,2025-01-28 18:00:00,1044.6066666666666,0.0,85.5,91.85,1041.7833333333333,70.0,78.94333333333333,74.0,70.0,72.0,70.23333333333333,84.0,69.0,85.0,68.0
55,2025-01-28 18:15:00,1027.6566666666668,0.0,85.0,92.14333333333332,1029.7733333333333,70.0,76.75666666666666,74.0,70.0,72.0,70.23,84.0,69.0,85.0,68.0
56,2025-01-28 18:30:00,993.0466666666666,0.0,81.83333333333333,87.61,985.28,70.0,70.69666666666667,74.0,70.0,72.0,70.42,84.0,69.0,85.0,68.0
57,2025-01-28 18:45:00,947.14,0.0,79.0,84.83666666666666,951.3766666666668,70.0,66.54333333333334,74.0,70.0,72.0,70.42333333333333,84.0,69.0,85.0,68.0
58,2025-01-28 19:00:00,936.5466666666666,0.0,79.0,84.86666666666666,941.49,70.0,64.89666666666666,74.0,70.0,72.0,70.39666666666666,84.0,69.0,85.0,68.0
59,2025-01-28 19:15:00,871.5633333333334,0.0,74.5,81.7,876.5099999999999,70.0,55.64333333333334,74.0,70.0,72.0,70.64666666666666,84.0,69.0,85.0,68.0
60,2025-01-28 19:30:00,832.0133333333333,0.0,71.83333333333333,80.44666666666667,832.0133333333333,70.0,48.73666666666667,74.0,70.0,72.0,70.71666666666665,84.0,69.0,85.0,68.0
