,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,SaTemp,StbyClgSp,StbyHtgSp,SuplFanCmd,SuplFanState,UnoccClgSp,UnoccHtgSp,oppMode
33,2025-01-27 22:45:00,,,,,1578.57,,70.0,,74.0,,70.0,,72.0,,,67.0,69.0,,,68.0,68.0,
34,2025-01-27 23:00:00,,,,,1578.57,,70.0,,74.0,,70.0,,72.0,,,67.0,69.0,,,68.0,68.0,
35,2025-01-27 23:15:00,,,,,1578.57,,70.0,,74.0,,70.0,,72.0,,,67.0,69.0,,,68.0,68.0,
36,2025-01-27 23:30:00,,,,,1578.57,,70.0,,74.0,,70.0,,72.0,,,67.0,69.0,,,68.0,68.0,
37,2025-01-27 23:45:00,,,,,1578.57,,70.0,,74.0,,70.0,,72.0,,,67.0,69.0,,,68.0,68.0,
38,2025-01-28 00:00:00,,,,,1578.57,,70.0,,74.0,,70.0,,72.0,,,67.0,69.0,,,68.0,68.0,
39,2025-01-28 00:15:00,,,,,1578.57,,70.0,,74.0,,70.0,,72.0,,,67.0,69.0,,,68.0,68.0,
40,2025-01-28 14:30:00,633.545,0.0,100.0,90.695,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.82,,67.0,69.0,1.0,-1.0,68.0,68.0,
41,2025-01-28 14:45:00,636.37,0.0,100.0,90.92333333333332,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.83666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
42,2025-01-28 15:00:00,630.7233333333334,0.0,100.0,91.21,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.96666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
43,2025-01-28 15:15:00,630.0166666666667,0.0,100.0,91.4,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.98666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
44,2025-01-28 15:30:00,629.3066666666667,0.0,100.0,91.58666666666666,1739.5966666666666,0.0,70.0,97.69,74.0,0.0,70.0,0.0,72.0,70.08333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
45,2025-01-28 15:45:00,630.7199999999999,0.0,100.0,91.69333333333331,1719.8233333333335,0.0,70.0,96.24,74.0,0.0,70.0,0.0,72.0,70.11666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
46,2025-01-28 16:00:00,631.43,0.0,100.0,89.3,1690.16,0.0,70.0,93.53000000000002,74.0,0.0,70.0,0.0,72.0,70.19333333333334,,67.0,69.0,1.0,-1.0,68.0,68.0,
47,2025-01-28 16:15:00,627.8933333333333,0.0,100.0,88.11333333333334,1684.513333333333,0.0,70.0,93.07,74.0,0.0,70.0,0.0,72.0,70.15666666666668,,67.0,69.0,1.0,-1.0,68.0,68.0,
48,2025-01-28 16:30:00,625.0733333333333,0.0,100.0,88.07666666666667,1668.97,0.0,70.0,92.15333333333336,74.0,0.0,70.0,0.0,72.0,70.12666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
49,2025-01-28 16:45:00,627.8966666666666,0.0,100.0,88.19333333333333,1644.9566666666667,0.0,70.0,89.99000000000001,74.0,0.0,70.0,0.0,72.0,70.19,,67.0,69.0,1.0,-1.0,68.0,68.0,
50,2025-01-28 17:00:00,632.84,0.0,100.0,86.41333333333334,1610.35,0.0,70.0,86.76333333333334,74.0,0.0,70.0,0.0,72.0,70.25666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
51,2025-01-28 17:15:00,623.6566666666666,0.0,100.0,86.38333333333333,1580.6866666666667,0.0,70.0,84.60333333333334,74.0,0.0,70.0,0.0,72.0,70.25666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
52,2025-01-28 17:30:00,625.0733333333333,0.0,100.0,84.38,1527.006666666667,0.0,70.0,79.78666666666668,74.0,0.0,70.0,0.0,72.0,70.38,,67.0,69.0,1.0,-1.0,68.0,68.0,
53,2025-01-28 17:45:00,628.6033333333334,0.0,100.0,84.55666666666667,1492.4,0.0,70.0,76.67999999999999,74.0,0.0,70.0,0.0,72.0,70.38,,67.0,69.0,1.0,-1.0,68.0,68.0,
54,2025-01-28 18:00:00,654.7333333333333,0.0,100.0,81.92,1454.26,0.0,70.0,73.56666666666666,74.0,0.0,70.0,0.0,72.0,70.39666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
55,2025-01-28 18:15:00,752.91,0.0,100.0,81.19,1481.0966666666666,0.0,70.0,75.73,74.0,0.0,70.0,0.0,72.0,70.16333333333334,,67.0,69.0,1.0,-1.0,68.0,68.0,
