,time,AirFlow,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,oppMode
29,2025-01-27 21:45:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
30,2025-01-27 22:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
31,2025-01-27 22:15:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
32,2025-01-27 22:30:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
33,2025-01-27 22:45:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
34,2025-01-27 23:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
35,2025-01-27 23:15:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
36,2025-01-27 23:30:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
37,2025-01-27 23:45:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
38,2025-01-28 00:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
39,2025-01-28 00:15:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
40,2025-01-28 14:30:00,652.615,0.0,,44.75,97.435,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,694.5,0.0,70.17500000000001,,67.0,69.0,85.0,68.0,
41,2025-01-28 14:45:00,649.79,0.0,,44.5,97.76,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,682.0,0.0,70.33999999999999,,67.0,69.0,85.0,68.0,
42,2025-01-28 15:00:00,654.0300000000001,0.0,,44.833333333333336,97.98666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,699.3333333333334,0.0,70.26333333333334,,67.0,69.0,85.0,68.0,
43,2025-01-28 15:15:00,649.0833333333334,0.0,,45.0,98.06666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,751.6666666666666,0.0,70.22000000000001,,67.0,69.0,85.0,68.0,
44,2025-01-28 15:30:00,650.5,0.0,,45.0,98.39666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,750.6666666666666,0.0,70.32666666666667,,67.0,69.0,85.0,68.0,
45,2025-01-28 15:45:00,640.6066666666667,0.0,,45.0,98.52,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,750.0,0.0,70.26333333333334,,67.0,69.0,85.0,68.0,
46,2025-01-28 16:00:00,649.0866666666667,0.0,,45.0,98.77333333333333,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,705.0,0.0,70.33999999999999,,67.0,69.0,85.0,68.0,
47,2025-01-28 16:15:00,645.5533333333333,0.0,,45.0,98.97666666666667,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,737.6666666666666,0.0,70.38,,67.0,69.0,85.0,68.0,
48,2025-01-28 16:30:00,650.4966666666667,0.0,,45.0,99.2,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,770.3333333333334,0.0,70.36333333333333,,67.0,69.0,85.0,68.0,
49,2025-01-28 16:45:00,657.5600000000001,0.0,,45.333333333333336,99.20666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,690.3333333333334,0.0,70.50666666666666,,67.0,69.0,85.0,68.0,
50,2025-01-28 17:00:00,650.4966666666667,0.0,,45.0,99.54333333333334,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,617.0,0.0,70.76666666666667,,67.0,69.0,85.0,68.0,
51,2025-01-28 17:15:00,648.38,0.0,,45.16666666666666,99.94666666666669,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,710.0,0.0,70.80333333333334,,67.0,69.0,85.0,68.0,
52,2025-01-28 17:30:00,642.7266666666666,0.0,,45.5,100.26666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,877.0,0.0,70.67333333333333,,67.0,69.0,85.0,68.0,
53,2025-01-28 17:45:00,651.9066666666666,0.0,,45.5,100.30666666666669,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,849.0,0.0,70.76,,67.0,69.0,85.0,68.0,
54,2025-01-28 18:00:00,648.38,0.0,,45.5,100.53333333333336,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,788.0,0.0,70.80666666666667,,67.0,69.0,85.0,68.0,
55,2025-01-28 18:15:00,644.8466666666667,0.0,,45.833333333333336,100.83666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,787.3333333333334,0.0,71.01666666666667,,67.0,69.0,85.0,68.0,
56,2025-01-28 18:30:00,647.6733333333333,0.0,,46.0,101.10333333333334,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,684.6666666666666,0.0,71.27666666666666,,67.0,69.0,85.0,68.0,
57,2025-01-28 18:45:00,648.3766666666667,0.0,,45.66666666666666,100.8,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,652.0,0.0,71.19333333333333,,67.0,69.0,85.0,68.0,
58,2025-01-28 19:00:00,651.91,0.0,,46.0,101.23333333333332,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,731.3333333333334,0.0,71.13,,67.0,69.0,85.0,68.0,
59,2025-01-28 19:15:00,647.6733333333333,0.0,,45.833333333333336,101.44333333333331,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,601.3333333333334,0.0,71.16333333333334,,67.0,69.0,85.0,68.0,
60,2025-01-28 19:30:00,649.79,0.0,,45.66666666666666,101.47666666666667,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,565.0,0.0,71.14,,67.0,69.0,85.0,68.0,
61,2025-01-28 19:45:00,649.0833333333334,0.0,,45.5,101.74,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,635.3333333333334,0.0,71.13333333333333,,67.0,69.0,85.0,68.0,
62,2025-01-28 20:00:00,650.4966666666667,0.0,,45.333333333333336,102.01333333333334,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,650.0,0.0,71.12,,67.0,69.0,85.0,68.0,
63,2025-01-28 20:15:00,650.4966666666667,0.0,,45.0,101.99666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,557.0,0.0,71.18,,67.0,69.0,85.0,68.0,
64,2025-01-28 20:30:00,652.6166666666667,0.0,,44.833333333333336,102.21666666666664,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,520.6666666666666,0.0,71.22,,67.0,69.0,85.0,68.0,
65,2025-01-28 20:45:00,660.3833333333333,0.0,,44.833333333333336,102.26666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,495.3333333333333,0.0,71.20666666666666,,67.0,69.0,85.0,68.0,
66,2025-01-28 21:00:00,656.1466666666666,0.0,,45.0,102.10333333333334,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,513.3333333333334,0.0,71.22666666666667,,67.0,69.0,85.0,68.0,
67,2025-01-28 21:15:00,651.91,0.0,,45.0,101.99,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,474.6666666666667,0.0,71.25333333333333,,67.0,69.0,85.0,68.0,
68,2025-01-28 21:30:00,650.4966666666667,0.0,,44.833333333333336,96.32666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,473.0,0.0,71.21,,67.0,69.0,85.0,68.0,
69,2025-01-28 21:45:00,646.26,0.0,,44.333333333333336,92.31333333333332,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,463.6666666666667,0.0,70.95666666666666,,67.0,69.0,85.0,68.0,
70,2025-01-28 22:00:00,649.7933333333334,0.0,,44.16666666666666,95.46666666666664,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,456.0,0.0,70.81666666666666,,67.0,69.0,85.0,68.0,
71,2025-01-28 22:15:00,651.2066666666666,0.0,,44.0,95.41666666666669,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,513.3333333333334,0.0,70.74000000000001,,67.0,69.0,85.0,68.0,
72,2025-01-28 22:30:00,651.91,0.0,,44.0,92.60666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,490.6666666666667,0.0,70.79666666666667,,67.0,69.0,85.0,68.0,
73,2025-01-28 22:45:00,651.2033333333334,0.0,,44.333333333333336,98.08,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,535.0,0.0,70.83333333333333,,67.0,69.0,85.0,68.0,
74,2025-01-28 23:00:00,644.1366666666667,0.0,,44.16666666666666,93.68,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,603.6666666666666,0.0,70.86333333333333,,67.0,69.0,85.0,68.0,
75,2025-01-28 23:15:00,651.91,0.0,,44.5,99.89,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,539.6666666666666,0.0,70.82333333333334,,67.0,69.0,85.0,68.0,
76,2025-01-28 23:30:00,646.26,0.0,,44.5,100.43,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,472.3333333333333,0.0,70.86,,67.0,69.0,85.0,68.0,
77,2025-01-28 23:45:00,646.26,0.0,,44.5,100.60333333333334,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,583.3333333333334,0.0,70.93,,67.0,69.0,85.0,68.0,
78,2025-01-29 00:00:00,654.7366666666667,0.0,,44.66666666666666,100.69333333333331,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,674.3333333333334,0.0,71.04666666666667,,67.0,69.0,85.0,68.0,
79,2025-01-29 00:15:00,652.6133333333333,0.0,,45.0,100.27333333333333,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,509.0,0.0,71.14999999999999,,67.0,69.0,85.0,68.0,
80,2025-01-29 00:30:00,647.6733333333333,0.0,,44.833333333333336,100.44333333333331,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,527.0,0.0,71.1,,67.0,69.0,85.0,68.0,
81,2025-01-29 00:45:00,646.26,0.0,,45.0,100.17,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,536.6666666666666,0.0,71.17999999999999,,67.0,69.0,85.0,68.0,
82,2025-01-29 01:00:00,647.67,0.0,,45.0,100.55666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,514.0,0.0,71.17666666666666,,67.0,69.0,85.0,68.0,
83,2025-01-29 01:15:00,649.0833333333334,0.0,,45.0,100.46999999999998,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,469.6666666666667,0.0,71.22,,67.0,69.0,85.0,68.0,
84,2025-01-29 01:30:00,652.6166666666667,0.0,,45.0,100.86,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,429.3333333333333,0.0,71.2,,67.0,69.0,85.0,68.0,
85,2025-01-29 01:45:00,649.0833333333334,0.0,,45.5,100.70666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,426.6666666666667,0.0,71.10666666666667,,67.0,69.0,85.0,68.0,
86,2025-01-29 02:00:00,644.8466666666667,0.0,,45.0,100.64666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,430.0,0.0,71.13333333333333,,67.0,69.0,85.0,68.0,
87,2025-01-29 02:15:00,649.7933333333334,0.0,,45.5,100.70666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,417.3333333333333,0.0,71.03,,67.0,69.0,85.0,68.0,
