,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,StbyClgSp,StbyHtgSp,SuplFanCmd,SuplFanState,UnoccClgSp,UnoccHtgSp
0,2025-01-27 14:30:00,803.0550000000001,0.0,82.0,94.01,798.82,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.98,67.0,69.0,1.0,-1.0,85.0,68.0
1,2025-01-27 14:45:00,791.7566666666667,0.0,81.33333333333333,94.05666666666669,791.0500000000001,0.0,70.0,98.41,74.0,0.0,70.0,0.0,72.0,70.06333333333333,67.0,69.0,1.0,-1.0,85.0,68.0
2,2025-01-27 15:00:00,764.9166666666666,0.0,78.33333333333333,93.13333333333333,764.9166666666666,0.0,70.0,93.35,74.0,0.0,70.0,0.0,72.0,70.25666666666666,67.0,69.0,1.0,-1.0,85.0,68.0
3,2025-01-27 15:15:00,737.37,0.0,75.83333333333333,92.21666666666664,745.14,0.0,70.0,88.89333333333333,74.0,0.0,70.0,0.0,72.0,70.36,67.0,69.0,1.0,-1.0,85.0,68.0
4,2025-01-27 15:30:00,725.3633333333333,0.0,73.83333333333333,91.44333333333331,726.7766666666666,0.0,70.0,85.14333333333333,74.0,0.0,70.0,0.0,72.0,70.39,67.0,69.0,1.0,-1.0,85.0,68.0
5,2025-01-27 15:45:00,705.5866666666667,0.0,73.0,90.3,706.2966666666667,0.0,70.0,81.08,74.0,0.0,70.0,0.0,72.0,70.46,67.0,69.0,1.0,-1.0,85.0,68.0
6,2025-01-27 16:00:00,690.0466666666666,0.0,71.66666666666667,89.91000000000001,694.9900000000001,0.0,70.0,78.49666666666667,74.0,0.0,70.0,0.0,72.0,70.39666666666666,67.0,69.0,1.0,-1.0,85.0,68.0
7,2025-01-27 16:15:00,678.0433333333334,0.0,70.16666666666667,88.83,680.8666666666667,0.0,70.0,75.44333333333333,74.0,0.0,70.0,0.0,72.0,70.39666666666666,67.0,69.0,1.0,-1.0,85.0,68.0
8,2025-01-27 16:30:00,654.7333333333333,0.0,67.5,87.08333333333333,655.44,0.0,70.0,70.03333333333333,74.0,0.0,70.0,0.0,72.0,70.48333333333333,67.0,69.0,1.0,-1.0,85.0,68.0
9,2025-01-27 16:45:00,644.14,0.0,66.83333333333333,85.44333333333333,638.4866666666667,0.0,70.0,66.64666666666666,74.0,0.0,70.0,0.0,72.0,70.49333333333334,67.0,69.0,1.0,-1.0,85.0,68.0
10,2025-01-27 17:00:00,625.07,0.0,66.16666666666667,84.54666666666667,627.8966666666666,0.0,70.0,64.57000000000001,74.0,0.0,70.0,0.0,72.0,70.42333333333333,67.0,69.0,1.0,-1.0,85.0,68.0
11,2025-01-27 17:15:00,613.0633333333334,0.0,63.833333333333336,83.32666666666667,615.8866666666667,0.0,70.0,62.07333333333333,74.0,0.0,70.0,0.0,72.0,70.38333333333333,67.0,69.0,1.0,-1.0,85.0,68.0
12,2025-01-27 17:30:00,613.77,0.0,64.16666666666667,82.77333333333333,607.4133333333333,0.0,70.0,59.98333333333333,74.0,0.0,70.0,0.0,72.0,70.33999999999999,67.0,69.0,1.0,-1.0,85.0,68.0
13,2025-01-27 17:45:00,600.7,0.0,64.25,82.14,597.525,0.0,70.0,58.18,74.0,0.0,70.0,0.0,72.0,70.34,67.0,69.0,1.0,-1.0,85.0,68.0
14,2025-01-27 18:00:00,,,,,597.525,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
15,2025-01-27 18:15:00,,,,,597.525,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
16,2025-01-27 18:30:00,550.91,0.0,58.5,78.19,553.03,0.0,70.0,48.88,74.0,0.0,70.0,0.0,72.0,70.36,67.0,69.0,1.0,-1.0,85.0,68.0
17,2025-01-27 18:45:00,545.6099999999999,0.0,59.25,78.1,547.73,0.0,70.0,47.71,74.0,0.0,70.0,0.0,72.0,70.25999999999999,67.0,69.0,1.0,-1.0,85.0,68.0
18,2025-01-27 19:00:00,,,,,547.73,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
19,2025-01-27 19:15:00,519.13,0.0,56.0,75.79,517.01,0.0,70.0,41.27,74.0,0.0,70.0,0.0,72.0,70.3,67.0,69.0,1.0,-1.0,85.0,68.0
20,2025-01-27 19:30:00,,,,,517.01,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
21,2025-01-27 19:45:00,506.41,0.0,53.0,73.92,500.06,0.0,70.0,37.72,74.0,0.0,70.0,0.0,72.0,70.25,67.0,69.0,1.0,-1.0,85.0,68.0
22,2025-01-27 20:00:00,,,,,500.06,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
23,2025-01-27 20:15:00,497.94,0.0,51.0,73.94,495.82,0.0,70.0,37.39,74.0,0.0,70.0,0.0,72.0,70.14,67.0,69.0,1.0,-1.0,85.0,68.0
24,2025-01-27 20:30:00,,,,,495.82,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
25,2025-01-27 20:45:00,,,,,495.82,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
26,2025-01-27 21:00:00,,,,,495.82,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
27,2025-01-27 21:15:00,,,,,495.82,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
28,2025-01-27 21:30:00,,,,,495.82,,70.0,,74.0,,70.0,,72.0,,67.0,69.0,,,85.0,68.0
