,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
35,2025-01-27 23:15:00,,,,,480.99,,70.0,,74.0,,70.0,72.0,,84.0,69.0,78.0,68.0
36,2025-01-27 23:30:00,,,,,480.99,,70.0,,74.0,,70.0,72.0,,84.0,69.0,78.0,68.0
37,2025-01-27 23:45:00,,,,,480.99,,70.0,,74.0,,70.0,72.0,,84.0,69.0,78.0,68.0
38,2025-01-28 00:00:00,,,,,480.99,,70.0,,74.0,,70.0,72.0,,84.0,69.0,78.0,68.0
39,2025-01-28 00:15:00,,,,,480.99,,70.0,,74.0,,70.0,72.0,,84.0,69.0,78.0,68.0
40,2025-01-28 14:30:00,478.865,0.0,4.75,82.19,480.99,0.0,70.0,57.495000000000005,74.0,0.0,70.0,72.0,70.52,84.0,69.0,78.0,68.0
41,2025-01-28 14:45:00,478.8666666666666,0.0,5.5,82.13333333333333,480.99,0.0,70.0,57.120000000000005,74.0,0.0,70.0,72.0,70.39,84.0,69.0,78.0,68.0
42,2025-01-28 15:00:00,468.9766666666666,0.0,6.166666666666667,82.32333333333334,480.99,0.0,70.0,57.36333333333334,74.0,0.0,70.0,72.0,70.24333333333334,84.0,69.0,78.0,68.0
43,2025-01-28 15:15:00,477.45666666666665,0.0,5.5,82.03,480.99,0.0,70.0,56.69,74.0,0.0,70.0,72.0,70.20666666666666,84.0,69.0,78.0,68.0
44,2025-01-28 15:30:00,471.8033333333333,0.0,5.166666666666667,80.57000000000001,480.99,0.0,70.0,51.96333333333333,74.0,0.0,70.0,72.0,70.34333333333333,84.0,69.0,78.0,68.0
45,2025-01-28 15:45:00,473.92333333333335,0.0,5.666666666666667,80.24000000000001,480.99,0.0,70.0,51.22666666666667,74.0,0.0,70.0,72.0,70.25333333333333,84.0,69.0,78.0,68.0
46,2025-01-28 16:00:00,485.93,0.0,5.833333333333333,81.15666666666667,480.99,0.0,70.0,52.72666666666667,74.0,0.0,70.0,72.0,70.12,84.0,69.0,78.0,68.0
47,2025-01-28 16:15:00,477.4533333333334,0.0,5.5,81.73,480.99,0.0,70.0,53.79666666666666,74.0,0.0,70.0,72.0,70.02,84.0,69.0,78.0,68.0
48,2025-01-28 16:30:00,481.6933333333333,0.0,6.0,82.40666666666665,480.99,0.0,70.0,54.82,74.0,0.0,70.0,72.0,69.98,84.0,69.0,78.0,68.0
49,2025-01-28 16:45:00,473.92333333333335,0.0,6.333333333333333,81.44333333333333,480.99,0.0,70.0,51.61666666666667,74.0,0.0,70.0,72.0,70.11,84.0,69.0,78.0,68.0
50,2025-01-28 17:00:00,480.28,0.0,6.333333333333333,81.37333333333333,480.99,0.0,70.0,51.080000000000005,74.0,0.0,70.0,72.0,70.07666666666667,84.0,69.0,78.0,68.0
51,2025-01-28 17:15:00,481.6933333333333,0.0,6.5,79.86,480.99,0.0,70.0,46.59333333333333,74.0,0.0,70.0,72.0,70.24333333333334,84.0,69.0,78.0,68.0
52,2025-01-28 17:30:00,480.28,0.0,6.5,77.73,480.99,0.0,70.0,41.10666666666666,74.0,0.0,70.0,72.0,70.39,84.0,69.0,78.0,68.0
53,2025-01-28 17:45:00,477.45666666666665,0.0,6.833333333333333,77.60000000000001,480.99,0.0,70.0,40.41666666666666,74.0,0.0,70.0,72.0,70.28666666666668,84.0,69.0,78.0,68.0
54,2025-01-28 18:00:00,479.5733333333333,0.0,5.833333333333333,77.05333333333333,480.99,0.0,70.0,39.803333333333335,74.0,0.0,70.0,72.0,70.22666666666667,84.0,69.0,78.0,68.0
55,2025-01-28 18:15:00,484.51666666666665,0.0,1.8333333333333333,73.17666666666666,480.99,0.0,70.0,36.36666666666667,74.0,0.0,70.0,72.0,70.28666666666668,84.0,69.0,78.0,68.0
56,2025-01-28 18:30:00,485.22333333333336,0.0,2.833333333333333,73.81666666666666,480.99,0.0,70.0,38.89666666666667,74.0,0.0,70.0,72.0,70.06333333333333,84.0,69.0,78.0,68.0
57,2025-01-28 18:45:00,484.51666666666665,0.0,3.5,77.16666666666667,480.99,0.0,70.0,46.85666666666666,74.0,0.0,70.0,72.0,69.72666666666667,84.0,69.0,78.0,68.0
58,2025-01-28 19:00:00,466.15333333333336,0.0,2.833333333333333,78.51666666666667,480.99,0.0,70.0,48.77666666666666,74.0,0.0,70.0,72.0,69.74,84.0,69.0,78.0,68.0
59,2025-01-28 19:15:00,484.51666666666665,0.0,1.8333333333333333,81.05,480.99,0.0,70.0,56.26333333333333,74.0,0.0,70.0,72.0,69.47,84.0,69.0,78.0,68.0
60,2025-01-28 19:30:00,474.63,0.0,2.0,85.32666666666667,480.99,0.0,70.0,66.06,74.0,0.0,70.0,72.0,69.24333333333334,84.0,69.0,78.0,68.0
61,2025-01-28 19:45:00,471.0966666666666,0.0,2.5,87.71,480.99,0.0,70.0,72.03333333333335,74.0,0.0,70.0,72.0,69.25,84.0,69.0,78.0,68.0
62,2025-01-28 20:00:00,477.4533333333334,0.0,2.5,90.55666666666669,480.99,0.0,70.0,80.87666666666667,74.0,0.0,70.0,72.0,69.09,84.0,69.0,78.0,68.0
63,2025-01-28 20:15:00,483.8133333333333,0.0,1.8333333333333333,92.22666666666667,480.99,0.0,70.0,89.76666666666667,74.0,0.0,70.0,72.0,69.00666666666666,84.0,69.0,78.0,68.0
64,2025-01-28 20:30:00,478.16333333333336,0.0,3.333333333333333,93.09333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.68333333333334,84.0,69.0,78.0,68.0
65,2025-01-28 20:45:00,483.1066666666666,0.0,3.0,93.04333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.44333333333334,84.0,69.0,78.0,68.0
66,2025-01-28 21:00:00,488.05,0.0,3.0,92.97666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.46333333333332,84.0,69.0,78.0,68.0
67,2025-01-28 21:15:00,490.1666666666667,0.0,2.833333333333333,92.75666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.39999999999999,84.0,69.0,78.0,68.0
68,2025-01-28 21:30:00,483.81,0.0,3.0,92.63,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.32666666666667,84.0,69.0,78.0,68.0
69,2025-01-28 21:45:00,476.04333333333335,0.0,3.0,92.59,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.27333333333333,84.0,69.0,78.0,68.0
