,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,oppMode
33,2025-01-27 22:45:00,,,,,63.57,,70.0,,74.0,,70.0,0.0,,,67.0,69.0,85.0,55.0,
34,2025-01-27 23:00:00,,,,,63.57,,70.0,,74.0,,70.0,0.0,,,67.0,69.0,85.0,55.0,
35,2025-01-27 23:15:00,,,,,63.57,,70.0,,74.0,,70.0,0.0,,,67.0,69.0,85.0,55.0,
36,2025-01-27 23:30:00,,,,,63.57,,70.0,,74.0,,70.0,0.0,,,67.0,69.0,85.0,55.0,
37,2025-01-27 23:45:00,,,,,63.57,,70.0,,74.0,,70.0,0.0,,,67.0,69.0,85.0,55.0,
38,2025-01-28 00:00:00,,,,,63.57,,70.0,,74.0,,70.0,0.0,,,67.0,69.0,85.0,55.0,
39,2025-01-28 00:15:00,,,,,63.57,,70.0,,74.0,,70.0,0.0,,,67.0,69.0,85.0,55.0,
40,2025-01-28 14:30:00,63.57,0.0,45.25,64.855,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.53999999999999,,67.0,69.0,85.0,55.0,
41,2025-01-28 14:45:00,65.68666666666667,0.0,45.333333333333336,65.07333333333334,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.63333333333334,,67.0,69.0,85.0,55.0,
42,2025-01-28 15:00:00,63.56999999999999,0.0,45.5,65.32333333333334,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.64333333333333,,67.0,69.0,85.0,55.0,
43,2025-01-28 15:15:00,65.68666666666667,0.0,45.333333333333336,65.51333333333334,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.65,,67.0,69.0,85.0,55.0,
44,2025-01-28 15:30:00,62.156666666666666,0.0,45.66666666666666,65.70666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.67,,67.0,69.0,85.0,55.0,
45,2025-01-28 15:45:00,64.98333333333333,0.0,46.0,65.83,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.71333333333332,,67.0,69.0,85.0,55.0,
46,2025-01-28 16:00:00,62.86333333333334,0.0,45.833333333333336,66.05,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.79333333333334,,67.0,69.0,85.0,55.0,
47,2025-01-28 16:15:00,63.57,0.0,46.16666666666666,66.30666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.8,,67.0,69.0,85.0,55.0,
48,2025-01-28 16:30:00,64.98333333333333,0.0,45.833333333333336,66.48666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.91333333333334,,67.0,69.0,85.0,55.0,
49,2025-01-28 16:45:00,62.86333333333334,0.0,45.5,66.69333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.94,,67.0,69.0,85.0,55.0,
50,2025-01-28 17:00:00,64.27666666666666,0.0,45.833333333333336,66.92666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.98,,67.0,69.0,85.0,55.0,
51,2025-01-28 17:15:00,64.98,0.0,45.833333333333336,67.07666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.51,,67.0,69.0,85.0,55.0,
52,2025-01-28 17:30:00,62.86333333333334,0.0,46.0,67.36333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.46666666666667,,67.0,69.0,85.0,55.0,
53,2025-01-28 17:45:00,64.98,0.0,45.66666666666666,67.66000000000001,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.56666666666666,,67.0,69.0,85.0,55.0,
54,2025-01-28 18:00:00,64.27333333333333,0.0,45.833333333333336,67.79666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.05333333333333,,67.0,69.0,85.0,55.0,
55,2025-01-28 18:15:00,65.68666666666667,0.0,45.833333333333336,68.05333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.33333333333333,,67.0,69.0,85.0,55.0,
56,2025-01-28 18:30:00,64.27666666666666,0.0,46.16666666666666,68.32666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.37,,67.0,69.0,85.0,55.0,
57,2025-01-28 18:45:00,64.98333333333333,0.0,45.5,68.39666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.37,,67.0,69.0,85.0,55.0,
58,2025-01-28 19:00:00,64.98,0.0,46.0,68.56,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.44,,67.0,69.0,85.0,55.0,
59,2025-01-28 19:15:00,66.39333333333333,0.0,45.333333333333336,68.81666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.50666666666666,,67.0,69.0,85.0,55.0,
60,2025-01-28 19:30:00,63.57,0.0,44.333333333333336,68.92333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.51333333333334,,67.0,69.0,85.0,55.0,
61,2025-01-28 19:45:00,63.57,0.0,44.0,68.95,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.54333333333334,,67.0,69.0,85.0,55.0,
62,2025-01-28 20:00:00,64.98,0.0,43.16666666666666,69.06666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.63333333333334,,67.0,69.0,85.0,55.0,
63,2025-01-28 20:15:00,64.98,0.0,42.5,69.20666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.93333333333334,,67.0,69.0,85.0,55.0,
64,2025-01-28 20:30:00,64.27666666666666,0.0,42.66666666666666,69.39666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,73.09,,67.0,69.0,85.0,55.0,
65,2025-01-28 20:45:00,64.98,0.0,42.333333333333336,69.42,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,73.08333333333333,,67.0,69.0,85.0,55.0,
66,2025-01-28 21:00:00,63.57,0.0,42.333333333333336,69.37666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,73.08333333333333,,67.0,69.0,85.0,55.0,
67,2025-01-28 21:15:00,66.39,0.0,43.0,69.36666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,73.09,,67.0,69.0,85.0,55.0,
68,2025-01-28 21:30:00,62.86333333333334,0.0,42.833333333333336,65.08333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.97666666666667,,67.0,69.0,85.0,55.0,
69,2025-01-28 21:45:00,67.09666666666666,0.0,41.833333333333336,60.10999999999999,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.36666666666666,,67.0,69.0,85.0,55.0,
70,2025-01-28 22:00:00,65.69,0.0,41.0,63.93000000000001,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,72.22333333333334,,67.0,69.0,85.0,55.0,
71,2025-01-28 22:15:00,64.98333333333333,0.0,41.333333333333336,62.303333333333335,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.90666666666667,,67.0,69.0,85.0,55.0,
72,2025-01-28 22:30:00,64.27666666666666,0.0,40.66666666666666,61.79333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.84333333333332,,67.0,69.0,85.0,55.0,
73,2025-01-28 22:45:00,67.10000000000001,0.0,41.333333333333336,65.47,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.53,,67.0,69.0,85.0,55.0,
74,2025-01-28 23:00:00,64.98333333333333,0.0,42.833333333333336,61.306666666666665,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.36,,67.0,69.0,85.0,55.0,
